Category: All categories,
,
Week,samsung galaxy: (Worldwide)
09/07/2017,94
16/07/2017,98
23/07/2017,94
30/07/2017,91
06/08/2017,92
13/08/2017,89
20/08/2017,96
27/08/2017,91
03/09/2017,87
10/09/2017,95
17/09/2017,90
24/09/2017,87
01/10/2017,87
08/10/2017,85
15/10/2017,82
22/10/2017,79
29/10/2017,82
05/11/2017,84
12/11/2017,84
19/11/2017,99
26/11/2017,90
03/12/2017,85
10/12/2017,88
17/12/2017,89
24/12/2017,100
31/12/2017,87
07/01/2018,79
14/01/2018,75
21/01/2018,77
28/01/2018,74
04/02/2018,73
11/02/2018,72
18/02/2018,70
25/02/2018,95
04/03/2018,79
11/03/2018,75
18/03/2018,73
25/03/2018,70
01/04/2018,66
08/04/2018,62
15/04/2018,61
22/04/2018,59
29/04/2018,60
06/05/2018,60
13/05/2018,62
20/05/2018,66
27/05/2018,67
03/06/2018,66
10/06/2018,66
17/06/2018,65
24/06/2018,67
01/07/2018,65
